"TimeCreated","LogName","Id","ProviderName","LevelDisplayName","Message","CrashIndicator"
"8/31/2026 2:33:55 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/31/2026 2:35:55 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 2:35:56 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 2:48:22 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 2:48:23 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 2:48:23 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 2:50:23 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/31/2026 2:52:23 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 2:52:23 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 3:06:45 AM","System","7036","Service Control Manager","Information","The Windows Update service entered the stopped state.","False"
"8/31/2026 3:06:45 AM","System","7036","Service Control Manager","Information","The Windows Update service entered the running state.","False"
"8/31/2026 3:06:45 AM","System","7036","Service Control Manager","Information","The Software Protection service entered the running state.","False"
"8/31/2026 3:06:46 AM","Application","16394","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded.","False"
"8/31/2026 3:06:46 AM","Application","16389","Microsoft-Windows-Security-SPP","Information","Grace timer has expired. Hr = 0xC004D30B","False"
"8/31/2026 3:06:46 AM","System","7036","Service Control Manager","Information","The AppX Deployment Service (AppXSVC) service entered the running state.","False"
"8/31/2026 3:06:48 AM","System","7036","Service Control Manager","Information","The Windows Update service entered the stopped state.","False"
"8/31/2026 3:06:48 AM","System","7036","Service Control Manager","Information","The Windows Update service entered the running state.","False"
"8/31/2026 3:07:16 AM","Application","16384","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2026-09-02T20:51:16Z. Reason: RulesEngine.","False"
"8/31/2026 3:07:16 AM","System","7036","Service Control Manager","Information","The Software Protection service entered the stopped state.","False"
"8/31/2026 3:09:30 AM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 3:09:31 AM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 3:09:31 AM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 3:11:19 AM","Application","1001","Windows Error Reporting","Information","Fault bucket , type 0
Event Name: BlueScreen
Response: Not available
Cab Id: 0

Problem signature:
P1: ef
P2: ffffa005cd605080
P3: 0
P4: ffffa005cd605080
P5: 0
P6: 10_0_26100
P7: 0_0
P8: 272_3
P9: 
P10: 

Attached files:
\\?\C:\WINDOWS\Minidump\071626-18171-01.dmp
\\?\C:\WINDOWS\SystemTemp\WER-485718-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.0730e035-97e9-4047-a99d-456c0d6235ac.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.afca3e08-eee7-4f66-a661-43524f808af3.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.82aaec66-a9d6-4f4b-a7c1-2919928ba890.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2acce1a1-33b1-475c-9b77-30b96a778a65.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_ef_41c68ca4a8b26ced9e699f199885777f6caba52d_00000000_5c3a8420-5b69-46d8-b1ae-55350f99a58d

Analysis symbol: 
Rechecking for solution: 0
Report Id: 75c47e14-c484-4f32-baa7-c3e3c1b65ef1
Report Status: 2049
Hashed bucket: 
Cab Guid: 0","True"
