"TimeCreated","LogName","Id","ProviderName","LevelDisplayName","Message","CrashIndicator"
"8/31/2026 10:31:02 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 10:31:03 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 10:44:25 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 10:44:26 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 10:44:26 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 10:46:26 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/31/2026 10:48:26 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 10:48:26 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 11:03:38 PM","System","7036","Service Control Manager","Information","The AppX Deployment Service (AppXSVC) service entered the running state.","False"
"8/31/2026 11:03:39 PM","System","7036","Service Control Manager","Information","The Windows Modules Installer service entered the running state.","False"
"8/31/2026 11:05:40 PM","System","7036","Service Control Manager","Information","The Windows Modules Installer service entered the stopped state.","False"
"8/31/2026 11:08:38 PM","System","7036","Service Control Manager","Information","The AppX Deployment Service (AppXSVC) service entered the stopped state.","False"
"8/31/2026 11:09:19 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 11:09:19 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 11:09:19 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 11:11:20 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/31/2026 11:13:20 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 11:13:20 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 11:13:33 PM","System","1","Microsoft-Windows-FilterManager","Information","File System Filter 'FileInfo' (Version 10.0, ?2093?-?04?-?01T20:29:43.000000000Z) unloaded successfully.","False"
"8/31/2026 11:13:46 PM","System","6","Microsoft-Windows-FilterManager","Information","File System Filter 'FileInfo' (10.0, ?2093?-?04?-?01T20:29:43.000000000Z) has successfully loaded and registered with Filter Manager.","False"
"8/31/2026 11:29:57 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 11:29:57 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 11:29:57 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 11:31:57 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/31/2026 11:33:58 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/31/2026 11:33:58 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/31/2026 11:46:57 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/31/2026 11:46:57 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/31/2026 11:46:57 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/31/2026 11:48:57 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
