"TimeCreated","LogName","Id","ProviderName","LevelDisplayName","Message","CrashIndicator"
"8/27/2026 9:15:31 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the running state.","False"
"8/27/2026 9:15:31 PM","System","7036","Service Control Manager","Information","The Software Protection service entered the running state.","False"
"8/27/2026 9:15:32 PM","Application","16394","Microsoft-Windows-Security-SPP","Information","Offline downlevel migration succeeded.","False"
"8/27/2026 9:15:32 PM","Application","16389","Microsoft-Windows-Security-SPP","Information","Grace timer has expired. Hr = 0xC004D30B","False"
"8/27/2026 9:16:02 PM","Application","16384","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2026-09-02T20:52:02Z. Reason: RulesEngine.","False"
"8/27/2026 9:16:02 PM","System","7036","Service Control Manager","Information","The Software Protection service entered the stopped state.","False"
"8/27/2026 9:16:33 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the stopped state.","False"
"8/27/2026 9:31:31 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/27/2026 9:31:32 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/27/2026 9:31:32 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/27/2026 9:33:33 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/27/2026 9:35:33 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/27/2026 9:35:33 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/27/2026 9:52:19 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/27/2026 9:52:20 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/27/2026 9:52:20 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/27/2026 9:54:20 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/27/2026 9:56:20 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/27/2026 9:56:20 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/27/2026 10:11:02 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the running state.","False"
"8/27/2026 10:12:41 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the stopped state.","False"
"8/27/2026 10:13:52 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/27/2026 10:13:52 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
"8/27/2026 10:13:52 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the running state.","False"
"8/27/2026 10:15:31 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the running state.","False"
"8/27/2026 10:15:52 PM","System","7036","Service Control Manager","Information","The WMI Performance Adapter service entered the stopped state.","False"
"8/27/2026 10:16:32 PM","System","7036","Service Control Manager","Information","The WaaSMedicSvc service entered the stopped state.","False"
"8/27/2026 10:17:52 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","False"
"8/27/2026 10:17:52 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the stopped state.","False"
"8/27/2026 10:35:04 PM","System","7040","Service Control Manager","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","False"
"8/27/2026 10:35:05 PM","System","7036","Service Control Manager","Information","The Background Intelligent Transfer Service service entered the running state.","False"
